3,7
7,3
11,3
17,3
19,7
3,11
31,3
3,17
3,31
3,37
3,59
3,67
3,73
37,3
59,3
61,7
67,3
7,19
73,3
7,61
7,97
97,7
109,3
109,7
11,23
127,7
13,19
13,61
137,3
17,83
19,13
191,3
19,31
19,79
19,97
229,3
229,7
23,11
23,47
23,89
271,3
283,7
29,71
3,109
31,19
3,137
3,191
3,229
3,271
331,3
3,331
3,359
3,373
3,449
3,467
3,499
3,541
3,557
359,3
3,607
3,613
3,617
3,673
3,701
3,719
3,733
373,3
3,739
37,67
37,79
3,823
3,929
3,947
433,7
43,97
449,3
467,3
47,23
487,7
499,3
523,7
541,3
541,7
547,7
557,3
607,3
61,13
613,3
617,3
673,3
67,37
673,7
691,7
701,3
7,109
7,127
71,29
719,3
7,229
7,283
733,3
739,3
7,433
7,487
7,523
7,541
7,547
757,7
7,673
7,691
7,757
7,823
7,829
7,853
7,883
79,19
7,937
79,37
823,3
823,7
829,7
83,17
853,7
883,7
89,23
929,3
937,7
947,3
97,19
97,43
1013,3
1019,3
103,13
1033,3
103,43
1051,3
107,89
11,113
11,239
11,251
113,11
11,353
113,53
11,503
11,587
11,701
1171,7
11,743
1181,3
11,839
11,863
1193,3
11,941
11,953
1237,3
1237,7
1249,7
127,13
13,103
13,127
13,241
13,331
13,337
13,367
13,523
13,577
13,709
137,29
137,89
13,829
139,31
139,67
13,997
1399,7
1453,7
1471,7
1481,3
149,47
151,31
151,61
1531,3
1549,7
157,67
157,97
1607,3
1627,3
163,19
1657,3
1663,3
1667,3
167,29
167,59
1693,7
1699,3
17,239
17,257
17,383
17,389
1741,7
17,431
17,449
17,491
17,881
179,29
17,971
181,19
181,31
1861,7
1879,7
1907,3
19,163
19,181
193,79
19,433
19,571
19,577
19,709
19,727
197,53
197,59
19,937
199,37
1993,7
19,991
19,997
1999,7
2069,3
2089,7
2143,3
2161,7
2213,3
223,43
2269,7
227,41
227,83
2287,7
2297,3
23,311
233,71
2341,7
23,509
23,677
23,743
23,761
23,773
2377,3
2381,3
23,827
239,11
239,17
241,13
2411,3
241,79
241,97
2441,3
2467,7
2503,3
2503,7
251,11
251,47
257,17
257,41
257,71
2579,3
2617,7
263,71
2671,7
269,47
269,53
2707,3
2707,7
271,43
2719,7
277,37
277,73
2789,3
2843,3
29,137
29,167
2917,3
